FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006
UR1US,US,000,02,0000771,870,0,0,0,870,0
UR1US,US,000,02,0000772,2450,0,0,0,2450,0
UR1US,US,000,02,0000776,144,0,0,0,144,0
UR1US,US,000,02,0000777,2750,0,0,0,2750,0
UR1US,US,000,02,0000781,1418,0,0,0,1418,0
UR1US,US,000,02,0000782,1541,0,0,0,1541,0
UR1US,US,000,02,0000783,2716,0,0,0,2716,0
UR1US,US,000,02,0000787,144,144,144,0,0,0
UR1US,US,000,02,0000788,2642,315,315,0,2327,0
UR1US,US,000,02,0000789,32168,29880,29880,0,2288,0
UR1US,US,000,02,0000790,7728,1311,1311,0,6417,0
UR1US,US,000,02,0000797,8044,7459,0,7459,585,0
UR1US,US,000,02,0000798,208,0,0,0,208,0
UR1US,US,000,02,0000799,38,0,0,0,38,0
UR1US,US,000,02,0000800,15314,624,597,27,14690,0
UR1US,US,000,02,0000804,21570,21325,21325,0,245,0
UR1US,US,000,02,0000805,1957,1745,1745,0,212,0
UR1US,US,000,02,0000806,30,0,0,0,30,0
UR1US,US,000,02,0000807,6760,6522,6522,0,238,0
UR1US,US,000,02,0000808,10978,7345,7345,0,3633,0
UR1US,US,000,02,0000812,1498,0,0,0,1498,0
UR1US,US,000,02,0000813,151,0,0,0,151,0
UR1US,US,000,02,0000814,88,0,0,0,88,0
UR1US,US,000,02,0000815,581,0,0,0,581,0
UR1US,US,000,02,0000816,29,0,0,0,29,0
UR1US,US,000,02,0000817,8610,2251,2204,47,6359,0
UR1US,US,000,02,0000821,13369,13215,13215,0,154,0
UR1US,US,000,02,0000822,2125,1358,1358,0,767,0
UR1US,US,000,02,0000823,10400,2311,2311,0,8089,0
UR1US,US,000,02,0000827,14467,13234,0,13234,1233,0
UR1US,US,000,02,0000828,9741,7253,0,7253,2488,0
UR1US,US,000,02,0000829,723,0,0,0,723,0
UR1US,US,000,02,0000830,5353,4414,4059,355,939,0
UR1US,US,000,02,0000831,77,0,0,0,77,0
UR1US,US,000,02,0000832,17728,5583,3,5580,12145,0
UR1US,US,000,02,0000836,1394,1258,1231,27,136,0
UR1US,US,000,02,0000837,5276,4961,0,4961,315,0
UR1US,US,000,02,0000838,706,534,0,534,172,0
UR1US,US,000,02,0000839,16941,3813,1734,2079,13128,0
